word,variant,frequency,category,affix_type,replacement,number
mermen,mermen,,man,suffix,merpeople,PL
midshipman,midshipman,19.0,man,suffix,naval officer,SG
midshipmen,midshipmen,,man,suffix,naval officers,PL
militiaman,militiaman,27.0,man,suffix,militia member,SG
militiamen,militiamen,,man,suffix,militia members,PL
minuteman,minuteman,2.0,man,suffix,soldier,SG
minutemen,minutemen,,man,suffix,soldiers,PL
motorman,motorman,24.0,man,suffix,operator,SG
motormen,motormen,,man,suffix,operators,PL
newsman,newsman,68.0,man,suffix,reporter,SG
newsmen,newsmen,,man,suffix,reporters,PL
newspaperman,newspaperman,14.0,man,suffix,journalist,SG
newspapermen,newspapermen,,man,suffix,journalists,PL
nightwatchman,nightwatchman,1.0,man,suffix,nightwatchbatter,SG
nightwatchmen,nightwatchmen,,man,suffix,nightwatchbatters,PL
nobleman,nobleman,,man,suffix,noble person,SG
noblemans,noblemans,,man,suffix,noble people,PL
oarsman,oarsman,3.0,man,suffix,rower,SG
oarsmen,oarsmen,,man,suffix,rowers,PL
ombudsman,ombudsman,109.0,man,suffix,ombudsperson,SG
ombudsmen,ombudsmen,,man,suffix,ombudspeople,PL
overman,overman,1.0,man,suffix,übermensch,SG
overmen,overmen,,man,suffix,übermensches,PL
oysterman,oysterman,3.0,man,suffix,oysterperson,SG
oystermen,oystermen,,man,suffix,oysterpeople,PL
packetman,packetman,2.0,man,suffix,packet sailor,SG
packetmen,packetmen,,man,suffix,packet sailors,PL
packman,packman,2.0,man,suffix,seller,SG
packmen,packmen,,man,suffix,sellers,PL
pieman,pieman,2.0,man,suffix,pie vendor,SG
piemen,piemen,,man,suffix,pie vendors,PL
pitchman,pitchman,67.0,man,suffix,pitcher,SG
pitchmen,pitchmen,,man,suffix,pitchers,PL
placeman,placeman,5.0,man,suffix,appointee,SG
placemen,placemen,,man,suffix,appointees,PL
ploughman,ploughman,6.0,man,suffix,plower,SG
ploughmen,ploughmen,,man,suffix,plowers,PL
plowman,plowman,3.0,man,suffix,plower,SG
plowmen,plowmen,,man,suffix,plowers,PL
pointsman,pointsman,1.0,man,suffix,traffic officer,SG
pointsmen,pointsmen,,man,suffix,traffic officers,PL
policeman,policeman,1155.0,man,suffix,police officer,SG
policemen,policemen,,man,suffix,police officers,PL
postman,postman,127.0,man,suffix,mail carrier,SG
postmen,postmen,,man,suffix,mail carriers,PL
pressman,pressman,2.0,man,suffix,printer,SG
pressmen,pressmen,,man,suffix,printers,PL
prman,prman,1.0,man,suffix,press agent,SG
prmen,prmen,,man,suffix,press agents,PL
rubberman,rubberman,1.0,man,suffix,latex fetishist,SG
rubbermen,rubbermen,,man,suffix,latex fetishists,PL
seaman,seaman,43.0,man,suffix,sailor,SG
seamen,seamen,,man,suffix,sailors,PL
seedsman,seedsman,6.0,man,suffix,seeds dealer,SG
seedsmen,seedsmen,,man,suffix,seeds dealers,PL
selectman,selectman,7.0,man,suffix,member of the board,SG
selectmen,selectmen,,man,suffix,members of the board,PL
serviceman,serviceman,67.0,man,suffix,service member,SG
servicemen,servicemen,,man,suffix,service members,PL
she-man,she-man,1.0,man,suffix,feminine person,SG
she-men,she-men,,man,suffix,feminine people,PL
sheepman,sheepman,8.0,man,suffix,shepherd,SG
sheepmen,sheepmen,,man,suffix,shepherds,PL
showman,showman,69.0,man,suffix,showperson,SG
showmen,showmen,,man,suffix,showpeople,PL
sideman,sideman,3.0,man,suffix,side artist,SG
sidemen,sidemen,,man,suffix,side artists,PL
slaughterman,slaughterman,2.0,man,suffix,butcher,SG
slaughtermen,slaughtermen,,man,suffix,butchers,PL
snowman,snowman,60.0,man,suffix,snowperson,SG
snowmen,snowmen,,man,suffix,snowpeople,PL
soundman,soundman,9.0,man,suffix,audio engineer,SG
soundmen,soundmen,,man,suffix,audio engineers,PL
spaceman,spaceman,18.0,man,suffix,astronaut,SG
spacemen,spacemen,,man,suffix,astronauts,PL
spearfisherman,spearfisherman,2.0,man,suffix,spearfisher,SG
spearfishermen,spearfishermen,,man,suffix,spearfishers,PL
spearman,spearman,1.0,man,suffix,lancer,SG
spearmen,spearmen,,man,suffix,lancers,PL
spokeman,spokeman,,man,suffix,spokeperson,SG
spokemen,spokemen,,man,suffix,spokepeople,PL
spokesman,spokesman,18072.0,man,suffix,spokesperson,SG
spokesmen,spokesmen,,man,suffix,spokespeople,PL
sportsman,sportsman,58.0,man,suffix,athlete,SG
sportsmen,sportsmen,,man,suffix,athletes,PL
statesman,statesman,293.0,man,suffix,statesperson,SG
statesmen,statesmen,,man,suffix,statespeople,PL
stickman,stickman,10.0,man,suffix,stick figure,SG
stickmen,stickmen,,man,suffix,stick figures,PL
stockman,stockman,11.0,man,suffix,stock farmer,SG
stockmen,stockmen,,man,suffix,stock farmers,PL
storeman,storeman,3.0,man,suffix,warehouser,SG
storemen,storemen,,man,suffix,warehousers,PL
strongman,strongman,124.0,man,suffix,strong person,SG
strongmen,strongmen,,man,suffix,strong people,PL
sub-man,sub-man,1.0,man,suffix,inferior human,SG
sub-men,sub-men,,man,suffix,inferior humans,PL
superman,superman,94.0,man,suffix,superhero,SG
supermen,supermen,,man,suffix,superheroes,PL
swagman,swagman,5.0,man,suffix,transient labourer,SG
swagmen,swagmen,,man,suffix,transient labourers,PL
swingman,swingman,11.0,man,suffix,versatile athlete,SG
swingmen,swingmen,,man,suffix,versatile athletes,PL
switchman,switchman,2.0,man,suffix,railroad worker,SG
switchmen,switchmen,,man,suffix,railroad workers,PL
swordman,swordman,3.0,man,suffix,fencer,SG
swordmen,swordmen,,man,suffix,fencers,PL
swordsman,swordsman,23.0,man,suffix,fencer,SG
swordsmen,swordsmen,,man,suffix,fencers,PL
targetman,targetman,3.0,man,suffix,forward,SG
targetmen,targetmen,,man,suffix,forwards,PL
taxman,taxman,47.0,man,suffix,tax collector,SG
taxmen,taxmen,,man,suffix,tax collectors,PL
townsman,townsman,1.0,man,suffix,townsperson,SG
townsmen,townsmen,,man,suffix,townspeople,PL
tribesman,tribesman,47.0,man,suffix,tribesperson,SG
tribesmen,tribesmen,,man,suffix,tribespeople,PL
triggerman,triggerman,13.0,man,suffix,hired gun,SG
triggermen,triggermen,,man,suffix,hired guns,PL
underclassman,underclassman,2.0,man,suffix,undergraduate,SG
underclassmen,underclassmen,,man,suffix,undergraduates,PL
upperclassman,upperclassman,1.0,man,suffix,student,SG
upperclassmen,upperclassmen,,man,suffix,students,PL
warehouseman,warehouseman,20.0,man,suffix,warehouse worker,SG
warehousemen,warehousemen,,man,suffix,warehouse workers,PL
washerman,washerman,1.0,man,suffix,washer,SG
washermen,washermen,,man,suffix,washers,PL
watchman,watchman,60.0,man,suffix,watcher,SG
watchmen,watchmen,,man,suffix,watchers,PL
weatherman,weatherman,55.0,man,suffix,weather forecaster,SG
weathermen,weathermen,,man,suffix,weather forecasters,PL
wheelman,wheelman,4.0,man,suffix,driver,SG
wheelmen,wheelmen,,man,suffix,drivers,PL
whiteman,whiteman,4.0,man,suffix,white person,SG
whitemen,whitemen,,man,suffix,white people,PL
wildman,wildman,4.0,man,suffix,wild person,SG
wildmen,wildmen,,man,suffix,wild people,PL
winchman,winchman,1.0,man,suffix,rescue swimmer,SG
winchmen,winchmen,,man,suffix,rescue swimmers,PL
wingman,wingman,46.0,man,suffix,pilot partner,SG
wingmen,wingmen,,man,suffix,pilot partners,PL
woodman,woodman,2.0,man,suffix,woodworker,SG
woodmen,woodmen,,man,suffix,woodworkers,PL
woodsman,woodsman,15.0,man,suffix,forester,SG
woodsmen,woodsmen,,man,suffix,foresters,PL
workingman,workingman,17.0,man,suffix,worker,SG
workingmen,workingmen,,man,suffix,workers,PL
workman,workman,73.0,man,suffix,worker,SG
workmen,workmen,,man,suffix,workers,PL
yeoman,yeoman,19.0,man,suffix,officer,SG
yeomen,yeomen,,man,suffix,officers,PL
airmanship,airmanship,,manship,suffix,aerial skill,SG
airmanships,airmanships,,manship,suffix,aerial skills,PL
batsmanship,batsmanship,,manship,suffix,batting skill,SG
